order_id,date,hour,customer_id,customer_type,restaurant_id,order_channel,items_count,basket_value,promo_code,discount_amount,delivery_fee,delivery_time_min,order_status,payment_method,device_platform,rating
ORD035369,2025-04-21,18,CU8913,New,RST295,Delivery,2,74.01,,0.48,5.0,13,Delivered,Wallet,Web,3.9
ORD006872,2025-01-23,18,CU9541,New,RST225,Delivery,1,53.33,,1.89,9.0,34,Delivered,Card,Web,4.0
ORD011092,2025-02-07,12,CU7689,New,RST202,Delivery,2,116.89,WELCOME25,6.04,12.0,34,Delivered,Wallet,Web,4.2
ORD035522,2025-04-21,14,CU9932,Repeat,RST303,Delivery,2,81.66,SUFRA10,3.61,12.0,40,Refunded,Card,Android,
ORD006837,2025-01-23,20,CU6297,New,RST198,Delivery,2,71.05,FEAST20,5.47,9.0,32,Delivered,Apple Pay,Web,4.7
ORD020947,2025-03-08,20,CU6531,Repeat,RST242,Dine-in,4,174.1,,4.94,0.0,0,Delivered,Wallet,iOS,4.9
ORD001119,2025-01-04,21,CU9580,New,RST130,Delivery,2,56.13,,17.85,7.0,55,Delivered,Card,Web,3.6
ORD022677,2025-03-13,21,CU7698,Repeat,RST141,Dine-in,1,31.2,WELCOME25,11.08,0.0,0,Delivered,Apple Pay,iOS,4.3
ORD022902,2025-03-13,20,CU10302,Repeat,RST223,Dine-in,2,56.76,RAMADAN15,1.03,0.0,0,Delivered,Wallet,Android,4.0
ORD008912,2025-01-30,21,CU9512,Repeat,RST323,Delivery,2,61.38,RAMADAN15,4.05,7.0,33,Delivered,Wallet,Web,4.5
ORD022935,2025-03-14,19,CU5022,Repeat,RST245,Pickup,3,81.6,RAMADAN15,3.88,0.0,0,Delivered,Cash,Android,4.7
ORD000426,2025-01-02,20,CU8658,Repeat,RST281,Delivery,2,142.94,WELCOME25,8.95,9.0,36,Delivered,Apple Pay,iOS,4.7
ORD039660,2025-05-05,13,CU5553,New,RST129,Delivery,3,94.82,,32.12,9.0,42,Delivered,Wallet,iOS,4.0
ORD009973,2025-02-03,12,CU7694,Repeat,RST223,Dine-in,2,87.56,,0.9,0.0,0,Delivered,Apple Pay,Android,4.7
ORD021208,2025-03-09,13,CU9116,New,RST319,Delivery,2,62.2,RAMADAN15,1.39,5.0,44,Delivered,Card,Web,4.2
ORD036408,2025-04-24,11,CU6623,Repeat,RST200,Delivery,2,55.48,,1.91,0.0,30,Delivered,Cash,Web,4.6
ORD032787,2025-04-12,22,CU8291,Repeat,RST163,Delivery,3,145.44,FEAST20,9.14,5.0,41,Delivered,Apple Pay,iOS,4.4
ORD000929,2025-01-04,20,CU8621,Repeat,RST201,Pickup,1,23.04,FEAST20,1.36,0.0,0,Delivered,Cash,iOS,4.1
ORD012573,2025-02-11,11,CU5889,Repeat,RST187,Pickup,3,105.38,WELCOME25,9.96,0.0,0,Refunded,Apple Pay,iOS,
ORD026445,2025-03-23,19,CU9679,New,RST111,Delivery,1,30.72,RAMADAN15,12.81,0.0,38,Cancelled,Apple Pay,iOS,
